"Statistic Label","Year","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2010","National excluding Dublin - houses","Base Jan 2005 = 100","90.6"
"Residential Property Price Index","2010","National excluding Dublin - apartments","Base Jan 2005 = 100","68.3"
"Residential Property Price Index","2010","Border excluding Louth - houses","Base Jan 2005 = 100","89.3"
"Residential Property Price Index","2010","Midland - houses","Base Jan 2005 = 100","89.6"
"Residential Property Price Index","2010","West - houses","Base Jan 2005 = 100","91.3"
"Residential Property Price Index","2010","Mid-East including Louth - houses","Base Jan 2005 = 100","91"
"Residential Property Price Index","2010","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","94.4"
"Residential Property Price Index","2010","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","90"
"Residential Property Price Index","2010","South-West - houses","Base Jan 2005 = 100","91.2"
"Residential Property Price Index","2011","National - all residential properties","Base Jan 2005 = 100","70.3"
"Residential Property Price Index","2011","National - houses","Base Jan 2005 = 100","73"
"Residential Property Price Index","2011","National - apartments","Base Jan 2005 = 100","56.1"
"Residential Property Price Index","2011","Dublin - all residential properties","Base Jan 2005 = 100","63.7"
"Residential Property Price Index","2011","Dublin - houses","Base Jan 2005 = 100","66.8"
"Residential Property Price Index","2011","Dublin - apartments","Base Jan 2005 = 100","56.9"
"Residential Property Price Index","2011","Dublin City - houses","Base Jan 2005 = 100","65.6"
"Residential Property Price Index","2011","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","64.8"
"Residential Property Price Index","2011","Fingal - houses","Base Jan 2005 = 100","69.2"
"Residential Property Price Index","2011","South Dublin - houses","Base Jan 2005 = 100","70.9"
"Residential Property Price Index","2011","National excluding Dublin - all residential properties","Base Jan 2005 = 100","73.1"
"Residential Property Price Index","2011","National excluding Dublin - houses","Base Jan 2005 = 100","74.7"
"Residential Property Price Index","2011","National excluding Dublin - apartments","Base Jan 2005 = 100","51.9"
"Residential Property Price Index","2011","Border excluding Louth - houses","Base Jan 2005 = 100","74.8"
"Residential Property Price Index","2011","Midland - houses","Base Jan 2005 = 100","67.3"
"Residential Property Price Index","2011","West - houses","Base Jan 2005 = 100","76"
"Residential Property Price Index","2011","Mid-East including Louth - houses","Base Jan 2005 = 100","75.1"
"Residential Property Price Index","2011","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","77.9"
"Residential Property Price Index","2011","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","71"
"Residential Property Price Index","2011","South-West - houses","Base Jan 2005 = 100","75.5"
"Residential Property Price Index","2012","National - all residential properties","Base Jan 2005 = 100","60.9"
"Residential Property Price Index","2012","National - houses","Base Jan 2005 = 100","63.4"
"Residential Property Price Index","2012","National - apartments","Base Jan 2005 = 100","45.8"
"Residential Property Price Index","2012","Dublin - all residential properties","Base Jan 2005 = 100","56.3"
"Residential Property Price Index","2012","Dublin - houses","Base Jan 2005 = 100","59.5"
"Residential Property Price Index","2012","Dublin - apartments","Base Jan 2005 = 100","47.1"
"Residential Property Price Index","2012","Dublin City - houses","Base Jan 2005 = 100","55.7"
"Residential Property Price Index","2012","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","58.7"
"Residential Property Price Index","2012","Fingal - houses","Base Jan 2005 = 100","59.8"
"Residential Property Price Index","2012","South Dublin - houses","Base Jan 2005 = 100","60.8"
"Residential Property Price Index","2012","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62"
"Residential Property Price Index","2012","National excluding Dublin - houses","Base Jan 2005 = 100","63.4"
"Residential Property Price Index","2012","National excluding Dublin - apartments","Base Jan 2005 = 100","43"
"Residential Property Price Index","2012","Border excluding Louth - houses","Base Jan 2005 = 100","59.3"
"Residential Property Price Index","2012","Midland - houses","Base Jan 2005 = 100","56.2"
"Residential Property Price Index","2012","West - houses","Base Jan 2005 = 100","64.2"
"Residential Property Price Index","2012","Mid-East including Louth - houses","Base Jan 2005 = 100","62.4"
"Residential Property Price Index","2012","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","65.7"
"Residential Property Price Index","2012","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","59.5"
"Residential Property Price Index","2012","South-West - houses","Base Jan 2005 = 100","66.2"
"Residential Property Price Index","2013","National - all residential properties","Base Jan 2005 = 100","61.6"
"Residential Property Price Index","2013","National - houses","Base Jan 2005 = 100","64.1"
"Residential Property Price Index","2013","National - apartments","Base Jan 2005 = 100","47.5"
"Residential Property Price Index","2013","Dublin - all residential properties","Base Jan 2005 = 100","61.8"
"Residential Property Price Index","2013","Dublin - houses","Base Jan 2005 = 100","65.8"
"Residential Property Price Index","2013","Dublin - apartments","Base Jan 2005 = 100","49.4"
"Residential Property Price Index","2013","Dublin City - houses","Base Jan 2005 = 100","62.3"
"Residential Property Price Index","2013","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","68.9"
"Residential Property Price Index","2013","Fingal - houses","Base Jan 2005 = 100","63.3"
"Residential Property Price Index","2013","South Dublin - houses","Base Jan 2005 = 100","66.6"
"Residential Property Price Index","2013","National excluding Dublin - all residential properties","Base Jan 2005 = 100","57.7"
"Residential Property Price Index","2013","National excluding Dublin - houses","Base Jan 2005 = 100","59"
"Residential Property Price Index","2013","National excluding Dublin - apartments","Base Jan 2005 = 100","41.4"
"Residential Property Price Index","2013","Border excluding Louth - houses","Base Jan 2005 = 100","50.3"
"Residential Property Price Index","2013","Midland - houses","Base Jan 2005 = 100","50.4"
"Residential Property Price Index","2013","West - houses","Base Jan 2005 = 100","58.9"
"Residential Property Price Index","2013","Mid-East including Louth - houses","Base Jan 2005 = 100","62.6"
"Residential Property Price Index","2013","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","56.1"
"Residential Property Price Index","2013","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","54.2"
"Residential Property Price Index","2013","South-West - houses","Base Jan 2005 = 100","62.7"
"Residential Property Price Index","2014","National - all residential properties","Base Jan 2005 = 100","71.8"
"Residential Property Price Index","2014","National - houses","Base Jan 2005 = 100","74.3"
"Residential Property Price Index","2014","National - apartments","Base Jan 2005 = 100","57.3"
"Residential Property Price Index","2014","Dublin - all residential properties","Base Jan 2005 = 100","76.7"
"Residential Property Price Index","2014","Dublin - houses","Base Jan 2005 = 100","81.4"
"Residential Property Price Index","2014","Dublin - apartments","Base Jan 2005 = 100","62.2"
"Residential Property Price Index","2014","Dublin City - houses","Base Jan 2005 = 100","80.5"
"Residential Property Price Index","2014","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100","83.6"
"Residential Property Price Index","2014","Fingal - houses","Base Jan 2005 = 100","74.5"
"Residential Property Price Index","2014","South Dublin - houses","Base Jan 2005 = 100","82.5"
"Residential Property Price Index","2014","National excluding Dublin - all residential properties","Base Jan 2005 = 100","62.2"
"Residential Property Price Index","2014","National excluding Dublin - houses","Base Jan 2005 = 100","63.6"
"Residential Property Price Index","2014","National excluding Dublin - apartments","Base Jan 2005 = 100","44"
"Residential Property Price Index","2014","Border excluding Louth - houses","Base Jan 2005 = 100","50.6"
"Residential Property Price Index","2014","Midland - houses","Base Jan 2005 = 100","53.3"
"Residential Property Price Index","2014","West - houses","Base Jan 2005 = 100","60.4"
"Residential Property Price Index","2014","Mid-East including Louth - houses","Base Jan 2005 = 100","71.4"
"Residential Property Price Index","2014","Mid-West including South Tipperary - houses","Base Jan 2005 = 100","57.1"
"Residential Property Price Index","2014","South-East excluding South Tipperary - houses","Base Jan 2005 = 100","59.3"
"Residential Property Price Index","2014","South-West - houses","Base Jan 2005 = 100","67.7"
"Residential Property Price Index","2015","National - all residential properties","Base Jan 2005 = 100","80.1"
"Residential Property Price Index","2015","National - houses","Base Jan 2005 = 100","82.8"
"Residential Property Price Index","2015","National - apartments","Base Jan 2005 = 100","65.2"
"Residential Property Price Index","2015","Dublin - all residential properties","Base Jan 2005 = 100","84.4"
"Residential Property Price Index","2015","Dublin - houses","Base Jan 2005 = 100","89.3"
"Residential Property Price Index","2015","Dublin - apartments","Base Jan 2005 = 100","69.5"
